,Entry Date,Exit Date,Entry Share Price,Exit Share Price,Entry Portfolio Holding,Exit Portfolio Holding,Profit/Loss
0,2022-06-14 04:00:00+00:00,2022-06-16 04:00:00+00:00,132.76,130.06,132.76,130.06,-2.6999999999999886
1,2022-06-17 04:00:00+00:00,2022-06-22 04:00:00+00:00,131.56,135.35,131.56,135.35,3.789999999999992
2,2022-06-23 04:00:00+00:00,2022-06-28 04:00:00+00:00,138.27,137.44,138.27,137.44,-0.8300000000000125
3,2022-06-29 04:00:00+00:00,2022-06-30 04:00:00+00:00,139.23,136.72,139.23,136.72,-2.509999999999991
4,2022-07-01 04:00:00+00:00,2022-07-11 04:00:00+00:00,138.93,144.87,138.93,144.87,5.939999999999998
5,2022-07-12 04:00:00+00:00,2022-07-13 04:00:00+00:00,145.86,145.49,145.86,145.49,-0.37000000000000455
6,2022-07-14 04:00:00+00:00,2022-07-18 04:00:00+00:00,148.47,147.07,148.47,147.07,-1.4000000000000057
7,2022-07-19 04:00:00+00:00,2022-07-22 04:00:00+00:00,151.0,154.09,151.0,154.09,3.0900000000000034
8,2022-07-27 04:00:00+00:00,2022-08-01 04:00:00+00:00,156.79,161.51,156.79,161.51,4.719999999999999
9,2022-08-03 04:00:00+00:00,2022-08-04 04:00:00+00:00,166.13,165.81,166.13,165.81,-0.3199999999999932
10,2022-08-09 04:00:00+00:00,2022-08-11 04:00:00+00:00,164.92,168.49,164.92,168.49,3.5700000000000216
11,2022-08-12 04:00:00+00:00,2022-08-16 04:00:00+00:00,172.1,173.03,172.1,173.03,0.9300000000000068
12,2022-08-17 04:00:00+00:00,2022-08-18 04:00:00+00:00,174.55,174.15,174.55,174.15,-0.4000000000000057
13,2022-08-24 04:00:00+00:00,2022-08-26 04:00:00+00:00,167.53,163.62,167.53,163.62,-3.9099999999999966
14,2022-09-01 04:00:00+00:00,2022-09-02 04:00:00+00:00,157.96,155.81,157.96,155.81,-2.1500000000000057
