,Entry Date,Exit Date,Entry Share Price,Exit Share Price,Entry Portfolio Holding,Exit Portfolio Holding,Profit/Loss
0,,2022-08-05 04:00:00+00:00,0.0,282.91,0.0,282.91,282.91
1,2022-08-09 04:00:00+00:00,2022-08-11 04:00:00+00:00,282.3,287.02,282.3,287.02,4.71999999999997
2,2022-08-12 04:00:00+00:00,2022-08-16 04:00:00+00:00,291.91,292.71,291.91,292.71,0.7999999999999545
3,2022-08-25 04:00:00+00:00,2022-08-26 04:00:00+00:00,278.85,268.09,278.85,268.09,-10.760000000000048
4,2022-09-07 04:00:00+00:00,2022-09-13 04:00:00+00:00,258.09,251.99,258.09,251.99,-6.099999999999966
5,2022-09-14 04:00:00+00:00,2022-09-15 04:00:00+00:00,252.22,245.38,252.22,245.38,-6.840000000000003
6,2022-09-22 04:00:00+00:00,2022-09-23 04:00:00+00:00,240.98,237.92,240.98,237.92,-3.0600000000000023
7,2022-09-28 04:00:00+00:00,2022-09-29 04:00:00+00:00,241.07,237.5,241.07,237.5,-3.569999999999993
8,2022-10-03 04:00:00+00:00,2022-10-06 04:00:00+00:00,240.74,246.79,240.74,246.79,6.049999999999983
9,2022-10-12 04:00:00+00:00,2022-10-14 04:00:00+00:00,225.75,228.56,225.75,228.56,2.8100000000000023
10,2022-10-17 04:00:00+00:00,2022-10-19 04:00:00+00:00,237.53,236.48,237.53,236.48,-1.0500000000000114
11,2022-10-21 04:00:00+00:00,2022-10-26 04:00:00+00:00,242.12,231.32,242.12,231.32,-10.800000000000011
12,2022-10-28 04:00:00+00:00,2022-10-31 04:00:00+00:00,235.87,232.13,235.87,232.13,-3.740000000000009
13,2022-11-04 04:00:00+00:00,2022-11-09 05:00:00+00:00,221.39,224.51,221.39,224.51,3.1200000000000045
14,2022-11-10 05:00:00+00:00,2022-11-14 05:00:00+00:00,242.98,241.55,242.98,241.55,-1.4299999999999784
15,2022-11-15 05:00:00+00:00,2022-11-16 05:00:00+00:00,241.97,241.73,241.97,241.73,-0.2400000000000091
16,2022-11-21 05:00:00+00:00,2022-11-25 05:00:00+00:00,242.05,247.49,242.05,247.49,5.439999999999998
17,2022-11-30 05:00:00+00:00,2022-12-01 05:00:00+00:00,255.14,254.69,255.14,254.69,-0.44999999999998863
18,2022-12-02 05:00:00+00:00,2022-12-05 05:00:00+00:00,255.02,250.2,255.02,250.2,-4.820000000000022
19,2022-12-08 05:00:00+00:00,2022-12-09 05:00:00+00:00,247.4,245.42,247.4,245.42,-1.9800000000000182
20,2022-12-12 05:00:00+00:00,2022-12-15 05:00:00+00:00,252.51,249.01,252.51,249.01,-3.5
21,2022-12-20 05:00:00+00:00,2022-12-22 05:00:00+00:00,241.8,238.19,241.8,238.19,-3.6100000000000136
22,2022-12-23 05:00:00+00:00,2022-12-27 05:00:00+00:00,238.73,236.96,238.73,236.96,-1.7699999999999818
23,2022-12-29 05:00:00+00:00,2022-12-30 05:00:00+00:00,241.01,239.82,241.01,239.82,-1.1899999999999977
24,2023-01-06 05:00:00+00:00,2023-01-18 05:00:00+00:00,224.93,235.81,224.93,235.81,10.879999999999995
25,2023-01-20 05:00:00+00:00,2023-01-24 05:00:00+00:00,240.22,242.04,240.22,242.04,1.8199999999999932
26,2023-01-26 05:00:00+00:00,2023-01-30 05:00:00+00:00,248.0,242.71,248.0,242.71,-5.289999999999992
27,2023-01-31 05:00:00+00:00,2023-02-03 05:00:00+00:00,247.81,258.35,247.81,258.35,10.54000000000002
28,2023-02-07 05:00:00+00:00,2023-02-08 05:00:00+00:00,267.56,266.73,267.56,266.73,-0.8299999999999841
29,2023-02-13 05:00:00+00:00,2023-02-15 05:00:00+00:00,271.32,269.32,271.32,269.32,-2.0
30,2023-02-23 05:00:00+00:00,2023-02-24 05:00:00+00:00,254.77,249.22,254.77,249.22,-5.550000000000011
31,2023-02-27 05:00:00+00:00,2023-02-28 05:00:00+00:00,250.16,249.42,250.16,249.42,-0.7400000000000091
32,2023-03-02 05:00:00+00:00,2023-03-07 05:00:00+00:00,251.11,254.15,251.11,254.15,3.039999999999992
33,2023-03-13 04:00:00+00:00,2023-03-20 04:00:00+00:00,253.92,272.23,253.92,272.23,18.31000000000003
34,2023-03-21 04:00:00+00:00,2023-03-22 04:00:00+00:00,273.78,272.29,273.78,272.29,-1.4899999999999523
35,2023-03-23 04:00:00+00:00,2023-03-27 04:00:00+00:00,277.66,276.38,277.66,276.38,-1.2800000000000296
36,2023-03-29 04:00:00+00:00,2023-04-03 04:00:00+00:00,280.51,287.23,280.51,287.23,6.720000000000027
37,2023-04-06 04:00:00+00:00,2023-04-10 04:00:00+00:00,291.6,289.39,291.6,289.39,-2.2100000000000364
38,2023-04-12 04:00:00+00:00,2023-04-14 04:00:00+00:00,283.49,286.14,283.49,286.14,2.6499999999999773
39,2023-04-17 04:00:00+00:00,2023-04-18 04:00:00+00:00,288.8,288.37,288.8,288.37,-0.4300000000000068
40,2023-04-19 04:00:00+00:00,2023-04-20 04:00:00+00:00,288.45,286.11,288.45,286.11,-2.339999999999975
41,2023-04-26 04:00:00+00:00,2023-05-01 04:00:00+00:00,295.37,305.56,295.37,305.56,10.189999999999998
42,2023-05-04 04:00:00+00:00,2023-05-08 04:00:00+00:00,305.41,308.65,305.41,308.65,3.2399999999999523
43,2023-05-10 04:00:00+00:00,2023-05-11 04:00:00+00:00,312.31,310.11,312.31,310.11,-2.1999999999999886
