,Entry Date,Exit Date,Entry Share Price,Exit Share Price,Entry Portfolio Holding,Exit Portfolio Holding,Profit/Loss
0,,2022-04-14 04:00:00+00:00,0.0,985.0,0.0,985.0,985.0
1,2022-04-18 04:00:00+00:00,2022-04-20 04:00:00+00:00,1004.29,977.2,1004.29,977.2,-27.089999999999918
2,2022-04-21 04:00:00+00:00,2022-04-22 04:00:00+00:00,1008.78,1005.05,1008.78,1005.05,-3.730000000000018
3,2022-04-27 04:00:00+00:00,2022-04-28 04:00:00+00:00,881.87,877.51,881.87,877.51,-4.360000000000014
4,2022-05-02 04:00:00+00:00,2022-05-05 04:00:00+00:00,902.94,873.28,902.94,873.28,-29.660000000000082
5,2022-05-10 04:00:00+00:00,2022-05-11 04:00:00+00:00,800.04,734.0,800.04,734.0,-66.03999999999996
6,2022-05-13 04:00:00+00:00,2022-05-16 04:00:00+00:00,769.59,724.37,769.59,724.37,-45.22000000000003
7,2022-05-17 04:00:00+00:00,2022-05-18 04:00:00+00:00,761.61,709.81,761.61,709.81,-51.80000000000007
8,2022-05-23 04:00:00+00:00,2022-05-24 04:00:00+00:00,674.9,628.16,674.9,628.16,-46.74000000000001
9,2022-05-25 04:00:00+00:00,2022-05-31 04:00:00+00:00,658.8,758.01,658.8,758.01,99.21000000000004
10,2022-06-02 04:00:00+00:00,2022-06-03 04:00:00+00:00,775.0,703.55,775.0,703.55,-71.45000000000005
11,2022-06-06 04:00:00+00:00,2022-06-09 04:00:00+00:00,714.84,719.12,714.84,719.12,4.279999999999973
12,2022-06-14 04:00:00+00:00,2022-06-16 04:00:00+00:00,662.67,639.3,662.67,639.3,-23.370000000000005
13,2022-06-17 04:00:00+00:00,2022-06-22 04:00:00+00:00,650.28,708.26,650.28,708.26,57.98000000000002
14,2022-06-24 04:00:00+00:00,2022-06-27 04:00:00+00:00,737.4,734.76,737.4,734.76,-2.6399999999999864
15,2022-07-01 04:00:00+00:00,2022-07-06 04:00:00+00:00,681.79,695.2,681.79,695.2,13.410000000000082
16,2022-07-07 04:00:00+00:00,2022-07-11 04:00:00+00:00,733.63,703.03,733.63,703.03,-30.600000000000023
17,2022-07-13 04:00:00+00:00,2022-07-25 04:00:00+00:00,711.12,805.3,711.12,805.3,94.17999999999995
18,2022-07-27 04:00:00+00:00,2022-08-05 04:00:00+00:00,824.46,864.51,824.46,864.51,40.049999999999955
19,2022-08-08 04:00:00+00:00,2022-08-09 04:00:00+00:00,871.27,850.0,871.27,850.0,-21.269999999999982
20,2022-08-10 04:00:00+00:00,2022-08-11 04:00:00+00:00,883.07,859.89,883.07,859.89,-23.180000000000064
21,2022-08-12 04:00:00+00:00,2022-08-16 04:00:00+00:00,900.09,919.69,900.09,919.69,19.600000000000023
22,2022-08-23 04:00:00+00:00,2022-08-25 04:00:00+00:00,889.36,296.07,889.36,296.07,-593.29
23,2022-09-01 04:00:00+00:00,2022-09-02 04:00:00+00:00,277.16,270.21,277.16,270.21,-6.9500000000000455
24,2022-09-06 04:00:00+00:00,2022-09-13 04:00:00+00:00,274.42,292.13,274.42,292.13,17.70999999999998
25,2022-09-14 04:00:00+00:00,2022-09-16 04:00:00+00:00,302.61,303.35,302.61,303.35,0.7400000000000091
26,2022-09-19 04:00:00+00:00,2022-09-20 04:00:00+00:00,309.07,308.73,309.07,308.73,-0.339999999999975
27,2022-09-26 04:00:00+00:00,2022-09-29 04:00:00+00:00,276.01,268.21,276.01,268.21,-7.800000000000011
28,2022-10-04 04:00:00+00:00,2022-10-05 04:00:00+00:00,249.44,240.81,249.44,240.81,-8.629999999999995
29,2022-10-12 04:00:00+00:00,2022-10-14 04:00:00+00:00,217.24,204.99,217.24,204.99,-12.25
30,2022-10-17 04:00:00+00:00,2022-10-20 04:00:00+00:00,219.35,207.28,219.35,207.28,-12.069999999999993
31,2022-10-21 04:00:00+00:00,2022-10-24 04:00:00+00:00,214.44,211.25,214.44,211.25,-3.1899999999999977
32,2022-10-25 04:00:00+00:00,2022-10-31 04:00:00+00:00,222.415,227.54,222.415,227.54,5.125
33,2022-11-01 04:00:00+00:00,2022-11-02 04:00:00+00:00,227.82,214.98,227.82,214.98,-12.840000000000003
34,2022-11-03 04:00:00+00:00,2022-11-04 04:00:00+00:00,215.31,207.47,215.31,207.47,-7.840000000000003
35,2022-11-10 05:00:00+00:00,2022-11-14 05:00:00+00:00,190.72,190.95,190.72,190.95,0.22999999999998977
36,2022-11-15 05:00:00+00:00,2022-11-16 05:00:00+00:00,194.42,186.92,194.42,186.92,-7.5
37,2022-11-22 05:00:00+00:00,2022-11-25 05:00:00+00:00,169.91,182.86,169.91,182.86,12.950000000000017
38,2022-11-28 05:00:00+00:00,2022-11-29 05:00:00+00:00,182.92,180.83,182.92,180.83,-2.089999999999975
39,2022-11-30 05:00:00+00:00,2022-12-05 05:00:00+00:00,194.7,182.45,194.7,182.45,-12.25
40,2022-12-09 05:00:00+00:00,2022-12-12 05:00:00+00:00,179.05,167.82,179.05,167.82,-11.230000000000018
41,2022-12-15 05:00:00+00:00,2022-12-16 05:00:00+00:00,157.67,150.23,157.67,150.23,-7.439999999999998
42,2022-12-28 05:00:00+00:00,2023-01-03 05:00:00+00:00,112.71,108.1,112.71,108.1,-4.609999999999999
43,2023-01-04 05:00:00+00:00,2023-01-05 05:00:00+00:00,113.64,110.34,113.64,110.34,-3.299999999999997
44,2023-01-06 05:00:00+00:00,2023-01-10 05:00:00+00:00,113.06,118.85,113.06,118.85,5.789999999999992
45,2023-01-11 05:00:00+00:00,2023-01-13 05:00:00+00:00,123.22,122.4,123.22,122.4,-0.8199999999999932
46,2023-01-17 05:00:00+00:00,2023-01-18 05:00:00+00:00,131.49,128.78,131.49,128.78,-2.710000000000008
47,2023-01-20 05:00:00+00:00,2023-01-30 05:00:00+00:00,133.42,166.66,133.42,166.66,33.24000000000001
48,2023-01-31 05:00:00+00:00,2023-02-10 05:00:00+00:00,173.22,196.89,173.22,196.89,23.669999999999987
49,2023-02-14 05:00:00+00:00,2023-02-16 05:00:00+00:00,209.25,202.04,209.25,202.04,-7.210000000000008
50,2023-02-17 05:00:00+00:00,2023-02-21 05:00:00+00:00,208.31,197.37,208.31,197.37,-10.939999999999998
51,2023-02-22 05:00:00+00:00,2023-02-24 05:00:00+00:00,200.86,196.88,200.86,196.88,-3.980000000000018
52,2023-02-27 05:00:00+00:00,2023-02-28 05:00:00+00:00,207.63,205.71,207.63,205.71,-1.9199999999999875
53,2023-03-03 05:00:00+00:00,2023-03-06 05:00:00+00:00,197.79,193.81,197.79,193.81,-3.9799999999999898
54,2023-03-10 05:00:00+00:00,2023-03-15 04:00:00+00:00,173.44,180.45,173.44,180.45,7.009999999999991
55,2023-03-16 04:00:00+00:00,2023-03-17 04:00:00+00:00,184.13,180.13,184.13,180.13,-4.0
56,2023-03-20 04:00:00+00:00,2023-03-22 04:00:00+00:00,183.25,191.15,183.25,191.15,7.900000000000006
