,CSCO,CSCO,CSCO,CSCO,CSCO,CSCO,CSCO,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,TSLA,TSLA,TSLA,TSLA,TSLA,TSLA,TSLA,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL
,open,high,low,close,volume,trade_count,vwap,open,high,low,close,volume,trade_count,vwap,open,high,low,close,volume,trade_count,vwap,open,high,low,close,volume,trade_count,vwap
timestamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-01 05:00:00+00:00,55.45,55.5,54.735,55.37,22376917,140177,55.25055,310.535,310.63,305.1293,308.76,40845829,596743,307.400395,935.21,943.7,905.0,931.25,24355050,755053,927.181145,174.01,174.84,172.31,174.61,85997761,732405,173.703513
2022-02-02 05:00:00+00:00,55.225,56.315,55.17,56.17,23268192,137490,55.827012,309.63,315.12,308.88,313.46,36591486,512078,312.21323,928.18,931.5,889.41,905.66,22250600,715859,909.282386,174.745,175.88,173.33,175.84,84817172,675032,174.941289
2022-02-03 05:00:00+00:00,55.87,56.15,55.06,55.2,19197313,120952,55.441018,309.47,311.23,299.96,301.25,43648997,584025,305.247126,882.0,937.0,880.52,891.14,26254053,766207,909.306126,174.48,176.2399,172.12,172.9,89195554,722548,174.38458
2022-02-04 05:00:00+00:00,54.8935,55.62,54.39,55.15,19655455,131022,55.122588,300.21,308.8,299.97,305.94,35008085,507768,305.394093,897.22,936.5,881.17,923.32,24515573,682196,914.55155,171.68,174.1,170.68,172.39,82224164,700120,172.316068
2022-02-07 05:00:00+00:00,55.33,55.53,54.695,55.17,14412013,91238,55.19343,306.17,307.84,299.9,300.95,28475851,425346,303.344025,923.79,947.77,902.7089,907.34,20318520,640095,922.048066,172.86,173.9458,170.95,171.66,77134743,569759,172.443013
2022-02-08 05:00:00+00:00,55.06,55.49,54.71,55.34,15181728,99954,55.195919,301.25,305.561,299.95,304.56,32344327,422220,303.668811,905.53,926.2899,894.8,922.0,16888463,512322,914.811202,171.73,175.35,171.43,174.83,74571837,631965,173.810582
2022-02-09 05:00:00+00:00,55.82,56.38,55.4826,56.29,18419007,110204,56.139686,309.865,311.93,307.41,311.21,30630520,429902,309.634102,935.0,946.2699,920.0,932.0,17202339,498874,932.882236,176.05,176.65,174.9,176.28,69705349,556306,175.831852
2022-02-10 05:00:00+00:00,55.24,56.025,54.75,54.87,18868704,123710,55.195025,304.04,309.12,300.7,302.38,44086825,583449,304.062997,908.37,943.81,896.7,904.55,21516725,670774,921.051446,174.08,175.48,171.55,172.12,88078189,731812,173.535393
2022-02-11 05:00:00+00:00,54.87,55.09,53.77,53.9,19085487,127694,54.296127,303.19,304.29,294.22,295.04,37625984,579218,298.15178,909.63,915.96,850.7,860.0,25712567,917534,879.750743,172.34,173.08,168.04,168.64,95133474,771888,170.210271
2022-02-14 05:00:00+00:00,53.41,53.65,52.7,53.18,20273523,141783,53.181602,293.77,296.76,291.35,295.0,34368714,504599,294.426652,861.57,898.8799,853.15,875.76,21891414,673081,875.414418,167.37,169.58,166.56,168.88,82339594,714091,168.400022
2022-02-15 05:00:00+00:00,53.76,54.3,53.64,54.27,16840329,111590,54.08816,300.008,300.8,297.02,300.47,26678191,387236,299.567171,900.0,923.0,893.3774,922.43,18920855,584234,914.426068,170.97,172.95,170.25,172.79,62605150,544773,171.656225
2022-02-16 05:00:00+00:00,54.13,54.44,53.385,54.25,19889715,157248,54.239159,298.365,300.87,293.68,299.5,29267918,401279,297.471149,914.05,926.4299,901.21,923.39,16780900,464343,914.212183,171.85,173.34,170.05,172.55,59421416,523426,171.642449
2022-02-17 05:00:00+00:00,55.5,57.06,55.4,55.77,32441259,210059,56.167403,296.39,296.8,290.0,290.73,31712629,489851,292.989325,913.26,918.4999,874.1,876.35,18149070,629617,890.624487,171.03,171.91,168.47,168.88,68041016,566872,170.177776
2022-02-18 05:00:00+00:00,55.46,57.69,55.38,57.21,34601477,202986,56.869834,293.05,293.86,286.305,287.93,33329173,531188,289.145794,886.0,886.87,837.61,856.98,22525270,736921,856.170261,169.82,170.5413,166.19,167.3,80719550,659628,167.81266
2022-02-22 05:00:00+00:00,56.93,57.14,55.735,56.3,24128545,165457,56.406882,285.0,291.54,284.5,287.72,40443571,576890,287.65005,834.19,856.7338,801.1001,821.53,27579130,905700,823.556685,164.98,166.69,162.15,164.32,87871263,857554,164.560313
2022-02-23 05:00:00+00:00,56.61,56.99,54.37,54.44,22071044,162766,55.17278,290.18,291.7,280.1,280.34,37862459,647357,284.225099,830.43,835.2997,760.56,764.04,31772399,1234438,789.605834,165.54,166.15,159.75,160.24,90101012,820317,162.15558
2022-02-24 05:00:00+00:00,54.07,54.83,53.21,54.73,27746891,214441,54.041042,272.51,295.16,271.52,294.59,57209360,809375,285.485466,700.39,802.48,700.0,800.77,45216807,1313578,755.552166,152.58,162.85,152.0,162.51,141258414,1383835,158.018049
2022-02-25 05:00:00+00:00,54.755,56.22,54.49,56.04,17872584,131040,55.785086,295.185,297.62,291.655,297.31,31040429,489754,295.702993,809.23,819.5,782.4005,809.87,24636701,726859,802.143594,163.78,165.12,160.8738,164.85,87680902,768624,163.788661
