,CSCO,CSCO,CSCO,CSCO,CSCO,CSCO,CSCO
,open,high,low,close,volume,trade_count,vwap
timestamp,,,,,,,
2022-02-01 05:00:00+00:00,55.45,55.5,54.735,55.37,22376917,140177,55.25055
2022-02-02 05:00:00+00:00,55.225,56.315,55.17,56.17,23268192,137490,55.827012
2022-02-03 05:00:00+00:00,55.87,56.15,55.06,55.2,19197313,120952,55.441018
2022-02-04 05:00:00+00:00,54.8935,55.62,54.39,55.15,19655455,131022,55.122588
2022-02-07 05:00:00+00:00,55.33,55.53,54.695,55.17,14412013,91238,55.19343
2022-02-08 05:00:00+00:00,55.06,55.49,54.71,55.34,15181728,99954,55.195919
2022-02-09 05:00:00+00:00,55.82,56.38,55.4826,56.29,18419007,110204,56.139686
2022-02-10 05:00:00+00:00,55.24,56.025,54.75,54.87,18868704,123710,55.195025
2022-02-11 05:00:00+00:00,54.87,55.09,53.77,53.9,19085487,127694,54.296127
2022-02-14 05:00:00+00:00,53.41,53.65,52.7,53.18,20273523,141783,53.181602
2022-02-15 05:00:00+00:00,53.76,54.3,53.64,54.27,16840329,111590,54.08816
2022-02-16 05:00:00+00:00,54.13,54.44,53.385,54.25,19889715,157248,54.239159
2022-02-17 05:00:00+00:00,55.5,57.06,55.4,55.77,32441259,210059,56.167403
2022-02-18 05:00:00+00:00,55.46,57.69,55.38,57.21,34601477,202986,56.869834
2022-02-22 05:00:00+00:00,56.93,57.14,55.735,56.3,24128545,165457,56.406882
2022-02-23 05:00:00+00:00,56.61,56.99,54.37,54.44,22071044,162766,55.17278
2022-02-24 05:00:00+00:00,54.07,54.83,53.21,54.73,27746891,214441,54.041042
2022-02-25 05:00:00+00:00,54.755,56.22,54.49,56.04,17872584,131040,55.785086
2022-02-28 05:00:00+00:00,55.41,56.0,54.75,55.77,22478523,124424,55.558505
2022-03-01 05:00:00+00:00,55.53,55.85,54.27,54.62,16440645,124570,54.781538
2022-03-02 05:00:00+00:00,54.77,56.38,54.71,56.15,17604966,134854,55.950921
2022-03-03 05:00:00+00:00,56.74,57.0,55.835,56.07,15930620,122318,56.224591
2022-03-04 05:00:00+00:00,55.67,56.895,55.25,56.51,15781417,129099,56.233937
2022-03-07 05:00:00+00:00,56.31,56.44,55.52,55.59,20281920,149368,55.809603
2022-03-08 05:00:00+00:00,55.7,55.855,54.0701,54.4,22254416,176576,54.811551
2022-03-09 05:00:00+00:00,55.64,56.245,55.26,55.92,18247259,128216,55.734957
2022-03-10 05:00:00+00:00,54.4,55.16,53.97,54.71,17986973,122465,54.629079
2022-03-11 05:00:00+00:00,55.29,56.21,54.6,54.69,19652858,119272,55.087109
2022-03-14 04:00:00+00:00,54.73,55.4,53.995,54.3,17044617,119263,54.474681
2022-03-15 04:00:00+00:00,54.42,55.725,54.42,55.6,18215566,128607,55.229515
2022-03-16 04:00:00+00:00,55.93,56.0,54.6,55.81,20742603,157236,55.562154
2022-03-17 04:00:00+00:00,55.49,56.3,55.35,56.17,18172917,114391,55.990857
2022-03-18 04:00:00+00:00,56.03,56.42,55.54,55.97,50864928,173567,55.977488
2022-03-21 04:00:00+00:00,56.06,56.545,55.52,56.0,28820239,127433,55.981485
2022-03-22 04:00:00+00:00,56.36,56.72,56.09,56.17,28833554,115558,56.208104
2022-03-23 04:00:00+00:00,55.9,56.09,54.45,54.48,19310613,114881,54.823711
2022-03-24 04:00:00+00:00,54.66,54.69,53.68,54.5,20159492,125531,54.230006
2022-03-25 04:00:00+00:00,54.605,55.18,54.395,54.97,17943380,112454,54.799765
2022-03-28 04:00:00+00:00,54.8,55.16,54.42,55.14,29903690,188020,54.913915
2022-03-29 04:00:00+00:00,55.67,56.3138,55.04,55.67,20039827,130941,55.507202
2022-03-30 04:00:00+00:00,55.75,56.94,55.59,56.05,16125420,108708,56.142748
2022-03-31 04:00:00+00:00,56.04,56.88,55.72,55.76,27402072,132107,56.112316
2022-04-01 04:00:00+00:00,56.17,56.19,54.885,55.66,17381598,123233,55.467701
2022-04-04 04:00:00+00:00,55.46,56.12,54.99,55.87,19568313,106762,55.735785
2022-04-05 04:00:00+00:00,55.2,55.59,54.665,54.92,16002478,107637,55.036828
2022-04-06 04:00:00+00:00,54.69,54.76,53.8432,54.35,16502048,131547,54.344891
2022-04-07 04:00:00+00:00,54.43,54.85,53.735,54.63,13495322,111244,54.293635
2022-04-08 04:00:00+00:00,54.84,54.91,54.01,54.3,15692166,104496,54.495329
2022-04-11 04:00:00+00:00,53.92,53.95,52.785,52.88,20842740,148735,53.145048
2022-04-12 04:00:00+00:00,51.7,52.9501,51.48,51.82,24658156,173912,52.074969
2022-04-13 04:00:00+00:00,51.84,52.36,51.405,52.15,16922951,125718,51.910903
2022-04-14 04:00:00+00:00,52.08,52.38,51.1207,51.17,17979339,113657,51.478948
2022-04-18 04:00:00+00:00,50.88,51.56,50.8,51.11,13949383,106167,51.182971
2022-04-19 04:00:00+00:00,51.0,51.935,50.92,51.83,15427249,95963,51.634521
2022-04-20 04:00:00+00:00,52.22,53.67,52.162,53.02,19367002,133830,53.079508
2022-04-21 04:00:00+00:00,53.34,53.83,52.73,52.78,17015967,115499,53.218573
2022-04-22 04:00:00+00:00,52.92,52.96,51.29,51.36,17617679,124381,51.760996
2022-04-25 04:00:00+00:00,51.45,51.98,50.54,51.94,18472553,134427,51.353612
